fips,eligible
2016,NA
2020,24.58
2050,62.5
2060,15.33
2068,NA
2070,47.44
2090,18.53
2100,15.84
2105,52.87
2110,22.49
2122,17.91
2130,20.66
2150,20.72
2170,19
2180,41.88
2185,19.43
2188,51.15
2195,18.88
2198,30.2
2220,17.71
2230,16.23
2240,20.07
2261,16.86
2270,69.27
2290,34.33
1001,10.74
1003,8.7
1005,31.87
1007,20.93
1009,13.6
1011,31.59
1013,32.14
1015,20.82
1017,24.96
1019,19.94
1021,14.83
1023,28.67
1025,28.64
1027,25.74
1029,24.19
1031,19.81
1033,20.6
1035,30.39
1037,25.08
1039,28.2
1041,26.82
1043,21.28
1045,24.07
1047,40.24
1049,22.38
1051,10.76
1053,23.29
1055,22.5
1057,24.93
1059,27.29
1061,28.37
1063,37.58
1065,33.34
1067,24.98
1069,27.61
1071,21.07
1073,13.31
1075,26.44
1077,20.66
1079,22.04
1081,19.88
1083,17.75
1085,26.26
1087,22.24
1089,12.99
1091,31.98
1093,24.73
1095,23.38
1097,16.36
1099,27.28
1101,16.87
1103,18.9
1105,47.1
1107,28.62
1109,23.57
1111,23.62
1113,18.75
1117,8.57
1115,12.07
1119,37.76
1121,24.06
1123,25.12
1125,20.42
1127,17.94
1129,23.42
1131,42.98
1133,28.85
5001,23.09
5003,22.31
5005,14.18
5007,13.05
5009,21.83
5011,23.78
5013,20.53
5015,16.52
5017,33.02
5019,18.65
5021,22.77
5023,15.12
5025,18.94
5027,23.35
5029,22.81
5031,24.38
5033,19.84
5035,32.87
5037,25.11
5039,20.52
5041,30.1
5043,25.42
5045,16.95
5047,22.15
5049,24.94
5051,14.26
5053,14.79
5055,21.18
5057,24.93
5059,18.66
5061,21.77
5063,24.9
5065,23.42
5067,26.91
5069,27.26
5071,25.63
5073,31.59
5075,27.25
5077,40.44
5079,29.99
5081,21.14
5083,24.82
5085,15.54
5087,20.88
5089,19.55
5091,21.69
5093,30.9
5095,30.52
5097,20.29
5099,24.84
5101,28.37
5103,22.36
5105,17.81
5107,36.99
5109,21.73
5111,31.43
5113,21.07
5115,25.26
5117,23.84
5119,18.87
5121,25.29
5125,15.57
5127,25.89
5129,28.06
5131,24.18
5133,23.48
5135,22.66
5123,35.15
5137,22.84
5139,27.03
5141,17.34
5143,19.78
5145,21.5
5147,36.08
5149,25.68
4001,41.91
4003,11.86
4005,17.09
4007,13.78
4009,17.98
4011,9.48
4012,14.61
4013,8.7
4015,10.45
4017,26.86
4019,8.74
4021,12.43
4023,16.95
4025,8.12
4027,15.18
6001,36.81
6003,23.96
6005,12.03
6007,24.09
6009,13.46
6011,25.88
6013,24.68
6015,30.22
6017,16.23
6019,35.22
6021,25.34
6023,24.2
6025,49.36
6027,18.11
6029,37.47
6031,33.29
6033,31.18
6035,22.04
6037,30
6039,32.01
6041,12.85
6043,14.92
6045,27.25
6047,36.27
6049,25.01
6051,14.56
6053,22.87
6055,22.42
6057,12.94
6059,22.33
6061,14.85
6063,18.46
6065,16.03
6067,31.53
